path,source,label,raw_label,group_id,sha256,width,height,file_bytes,duplicate_count,split
artifacts/data/classification/images/bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,00416648-be6e-4bd4-bc8d-82f43f8a7240,3320c46706d434c028aa93fde868140c48604a328844f2b1c553d020bdc9db06,256,256,11797,1,train
artifacts/data/classification/images/bacterial_spot/0045ba29-ed1b-43b4-afde-719cc7adefdb___GCREC_Bact.Sp 6254.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,0045ba29-ed1b-43b4-afde-719cc7adefdb,88555cac183d27f4efd1972bc672e1178661f2db68753efbaacd73eb3c43cb45,256,256,14427,1,val
artifacts/data/classification/images/bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,00639d29-2d1a-4fcf-9bd3-a2b3109c74c4,1c1dde85185153d24bc79fb343681aed009737513c1c5c5864f4952026ef1b93,256,256,12564,1,train
artifacts/data/classification/images/bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,00728f4d-83a0-49f1-87f8-374646fcda05,2d8ad318e540cf910e365877efa083c6b6d99c5e6f96a7b215104130237100a9,256,256,15202,1,train
artifacts/data/classification/images/bacterial_spot/00a7c269-3476-4d25-b744-44d6353cd921___GCREC_Bact.Sp 5807.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,00a7c269-3476-4d25-b744-44d6353cd921,8be78a42b29e35f0521cb85ca1c5729b58a51795f1fbf1dfd44d594c99e2d3ee,256,256,13873,1,train
artifacts/data/classification/images/bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,00b7e89a-e129-4576-b51f-48923888bff9,04658ef2dcceabf609f52008f552d478b290fe3a93cf325f39b4bc4320120eb2,256,256,14358,1,train
artifacts/data/classification/images/bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,01375198-62af-4c40-bddf-f3c11107200b,7c7e12d216ef0fa06857600e97d0e7182d8e33622a8801410f8fd4d206a09a3f,256,256,13838,1,train
artifacts/data/classification/images/bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,014b58ae-091b-408a-ab4a-5a780cd1c3f3,15c3944c3b4e6516d9ab710240b11131c2cf1b5b56c175e8e3455ecfdb4f5d36,256,256,10162,1,train
artifacts/data/classification/images/bacterial_spot/01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,01a3cf3f-94c1-44d5-8972-8c509d62558e,36f537cc7496d7bfb5221832df23d58a5adf9892c44b127afee82ccb0a357269,256,256,13788,1,val
artifacts/data/classification/images/bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541___GCREC_Bact.Sp 5638.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,01a46cb5-d354-4f59-868e-e56186701541,9c7ee2913b993875b7605d527ef749f2da6b3b57cda93c147ad91506e01b6a14,256,256,12554,1,train
artifacts/data/classification/images/bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f___GCREC_Bact.Sp 2984.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,01d7f4fe-793f-4a9b-bc8b-8aa05200984f,4ad7b748f8324ed841591070a1f50042e456c25772376ada01283b67c871d310,256,256,11509,1,train
artifacts/data/classification/images/bacterial_spot/01d9fc8d-5083-468d-a583-885f33517cdd___GCREC_Bact.Sp 3422.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,01d9fc8d-5083-468d-a583-885f33517cdd,c3d33ea0356e109b0b7d5258c5891aee616c52848704b695c404aee064d72634,256,256,9836,1,train
artifacts/data/classification/images/bacterial_spot/01e079ba-939a-4681-8983-db663f4a859b___GCREC_Bact.Sp 3029.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,01e079ba-939a-4681-8983-db663f4a859b,ecae26f0edbb108f85d49acfaa919ac04188f8d51c82d539a72ad6c01dd05502,256,256,13518,1,train
artifacts/data/classification/images/bacterial_spot/01f13167-f508-4ef2-8720-4e973438f8fc___GCREC_Bact.Sp 5892.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,01f13167-f508-4ef2-8720-4e973438f8fc,140f255449b6f28c9ec0b9bde7692150a63341f6cf448193b3d96c4672404515,256,256,11575,1,train
artifacts/data/classification/images/bacterial_spot/022e8a4a-9297-4de3-88a5-ee7aa46dd526___UF.GRC_BS_Lab Leaf 8682.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,022e8a4a-9297-4de3-88a5-ee7aa46dd526,df02c446255b72f6ae4d9875df4965b5b7e31549d57097b4b18005bdf30fba10,256,256,10074,1,train
artifacts/data/classification/images/bacterial_spot/02626a44-a613-4402-a6b0-243858736e32___GCREC_Bact.Sp 3191.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,02626a44-a613-4402-a6b0-243858736e32,94febc117abe14141a36995d507e1c5b5a9943ed3a5d380a8dd37abd8dba5cc7,256,256,9604,1,train
artifacts/data/classification/images/bacterial_spot/0296e043-c805-47e4-bce5-b2326048ac67___GCREC_Bact.Sp 5680.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,0296e043-c805-47e4-bce5-b2326048ac67,16ded1da5d0676ceca8cd7b62722d04e3ae981dae01baed0e7f135f9f8cd5387,256,256,15552,1,val
artifacts/data/classification/images/bacterial_spot/02a0f70a-9e27-420e-93ff-6ed8105f41c1___GCREC_Bact.Sp 3570.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,02a0f70a-9e27-420e-93ff-6ed8105f41c1,06b1580a6e3fbffc33931e262fc3a39b7a30e9e3e25d7288acb64a05bd4820b1,256,256,14959,1,val
artifacts/data/classification/images/bacterial_spot/02dfe58f-0ad1-4bf6-838a-e145978b1eed___GCREC_Bact.Sp 5841.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,02dfe58f-0ad1-4bf6-838a-e145978b1eed,206be7afa34c8d47f8d4805a149e0a5c7e0c40492025114010663e2b36a7f630,256,256,13761,1,train
artifacts/data/classification/images/bacterial_spot/02fd4e60-db82-441c-87f6-08de768a4462___GCREC_Bact.Sp 5547.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,02fd4e60-db82-441c-87f6-08de768a4462,fc454542c58ac96b950265544f0d227f55d5f04552016e0db7d577f46f5dd867,256,256,12284,1,train
artifacts/data/classification/images/bacterial_spot/030501db-683b-4ed5-9ec0-c475a5dfdd76___GCREC_Bact.Sp 5650.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,030501db-683b-4ed5-9ec0-c475a5dfdd76,c2a42a16e8673abbff318fc760fdf8171ac1c3d32bd50afaff73062393436fc8,256,256,12552,1,train
artifacts/data/classification/images/bacterial_spot/034caf25-29c3-4be2-a725-d2866ce6f548___GCREC_Bact.Sp 3575.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,034caf25-29c3-4be2-a725-d2866ce6f548,b2ef8d98f6f8ea24dd329a068c7aa769dcdbff37fe490bd1e8674064b0630d40,256,256,15901,1,test
artifacts/data/classification/images/bacterial_spot/03707c27-7f95-4f19-a173-1c0c74653fdf___GCREC_Bact.Sp 3046.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,03707c27-7f95-4f19-a173-1c0c74653fdf,2ad7c47da474d769404047b546e0b4887656ecdac366d4d88f0778db514d64b3,256,256,10442,1,train
artifacts/data/classification/images/bacterial_spot/03aa14e9-9ee4-4ba2-819d-effb3d1ba398___GCREC_Bact.Sp 5801.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,03aa14e9-9ee4-4ba2-819d-effb3d1ba398,87306b6203cfb396ff888119b6e29d28adf90fe5bdc9cd814f7b1f6cff42a919,256,256,11585,1,train
artifacts/data/classification/images/bacterial_spot/03af6874-872f-41e1-bce4-b3022bd7a9e6___GCREC_Bact.Sp 2995.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,03af6874-872f-41e1-bce4-b3022bd7a9e6,89f371f247cfe151bebc635bcf36422a46e50414f489dce68cdf11a65a47ca43,256,256,11246,1,train
artifacts/data/classification/images/bacterial_spot/03c8e0d0-6c57-4207-ad44-4d017c3e7943___GCREC_Bact.Sp 6325.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,03c8e0d0-6c57-4207-ad44-4d017c3e7943,6699c26f0d274a839f9087115276d17968ba99cef3db409b5310dbc485182aaa,256,256,15415,1,train
artifacts/data/classification/images/bacterial_spot/03ca5883-e9d6-4f88-81d8-90176fcc5413___GCREC_Bact.Sp 3013.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,03ca5883-e9d6-4f88-81d8-90176fcc5413,ee2dbf25030791778ce417155f6566c6d51aed4cb7f4cd4f9217be487e0b3d06,256,256,13054,1,test
artifacts/data/classification/images/bacterial_spot/03e6cea1-1c09-420a-a22e-2c29844004d1___GCREC_Bact.Sp 3076.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,03e6cea1-1c09-420a-a22e-2c29844004d1,520722b26573d14ebf79ced7e455aaf70bfaf03c429cf055edeab16bd1524a75,256,256,11990,1,train
artifacts/data/classification/images/bacterial_spot/04210e47-ad95-4648-8f1e-dc183581157c___UF.GRC_BS_Lab Leaf 0320.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,04210e47-ad95-4648-8f1e-dc183581157c,41162b5d12431d937e5b754beec460a9471b2a1b8b7b4fa6d27b36113fdc685f,256,256,11595,1,train
artifacts/data/classification/images/bacterial_spot/045e9a8d-bed0-4700-8d27-7f8d0735223e___GCREC_Bact.Sp 3848.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,045e9a8d-bed0-4700-8d27-7f8d0735223e,0cf29cc84b75247868c32a5f758eb8745f4929ef2c37e8ddea2c9abccb0f03a7,256,256,13658,1,train
artifacts/data/classification/images/bacterial_spot/0493c0e5-27e3-41d6-81f0-7830cef39080___UF.GRC_BS_Lab Leaf 8615.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,0493c0e5-27e3-41d6-81f0-7830cef39080,86282ab5c680d45de772aaebf005130d890a0e56132ba99cd21db61b037d8c17,256,256,11424,1,train
artifacts/data/classification/images/bacterial_spot/04da1f61-623b-4878-86ed-3ea24723b515___GCREC_Bact.Sp 5700.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,04da1f61-623b-4878-86ed-3ea24723b515,7782bbcee9eda93c2eafb9ba482e3ea8f5d78564fac28f31bb0e9aded671465c,256,256,11729,1,train
artifacts/data/classification/images/bacterial_spot/04ee9562-c932-46ef-8e31-da20d4e2e740___GCREC_Bact.Sp 6121.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,04ee9562-c932-46ef-8e31-da20d4e2e740,9565fdba28fa09651415e976e1262d1e61e8eb2947ae9e27fe5298baca16235e,256,256,13412,1,train
artifacts/data/classification/images/bacterial_spot/04fcd6e4-a96e-49ba-b67a-32b88337b505___GCREC_Bact.Sp 3689.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,04fcd6e4-a96e-49ba-b67a-32b88337b505,67a0aa605bbf49bca6b49cd2503ce9b60d287f863ff71464392d5c35b8c32de9,256,256,16300,1,train
artifacts/data/classification/images/bacterial_spot/051beef3-8c72-4fd8-9dd4-8fececd41a35___GCREC_Bact.Sp 5989.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,051beef3-8c72-4fd8-9dd4-8fececd41a35,90587dee3c5f79b8e9db64d7a51de6f1a3c333d95b9fb0ff781d7563ae7b2369,256,256,12690,1,val
artifacts/data/classification/images/bacterial_spot/0524de69-51ec-4794-a955-04a8e0c5656c___GCREC_Bact.Sp 3695.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,0524de69-51ec-4794-a955-04a8e0c5656c,3137b7bba2dd6fd74677da469ac4a0e0ac4e4e111c4a3755f0c8a21c5a5d54f3,256,256,16623,1,train
artifacts/data/classification/images/bacterial_spot/0542f446-f9d7-4173-ab07-f41125b21dc7___GCREC_Bact.Sp 3074.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,0542f446-f9d7-4173-ab07-f41125b21dc7,fb2b0c33248d5322b8cab3f6e4651dc105cd196088b076de6175788a15f5e6df,256,256,11552,1,train
artifacts/data/classification/images/bacterial_spot/05530c50-5cb9-484f-91d0-82c9df7689d5___GCREC_Bact.Sp 6051.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,05530c50-5cb9-484f-91d0-82c9df7689d5,1bd7bb6fd0d9d7bd9fc96e5be80927c97a6bf0bdeba2f170876704dec72df340,256,256,12006,1,test
artifacts/data/classification/images/bacterial_spot/05777829-6912-44bb-bcef-901bc5190584___GCREC_Bact.Sp 6150.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,05777829-6912-44bb-bcef-901bc5190584,1599e54351faeaea74c4c1d3c56ab30812bbeb67c10e91936e942aa9e9b9f6d1,256,256,14424,1,train
artifacts/data/classification/images/bacterial_spot/05796aef-4298-48b1-ac04-e3ba020cb8b8___GCREC_Bact.Sp 3650.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,05796aef-4298-48b1-ac04-e3ba020cb8b8,6cb99a77234dabe319be7ac5665f86883e246de6eaa08a0a540ec8cd8b24d212,256,256,14981,1,train
artifacts/data/classification/images/bacterial_spot/057e3333-e63f-4259-888e-12869cc457c7___GCREC_Bact.Sp 3317.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,057e3333-e63f-4259-888e-12869cc457c7,2edc098d8c4ecfa8370a6f5f382978cf748406ee6720ebf30dc5c97f56de1fbc,256,256,13326,1,train
artifacts/data/classification/images/bacterial_spot/05fc994d-7781-4dc5-a15c-b359f6c681a6___GCREC_Bact.Sp 6304.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,05fc994d-7781-4dc5-a15c-b359f6c681a6,f618633aab93ea5cadfa5bde1f32d14c97274ad4e4eb307d393ae37925833c97,256,256,13863,1,train
artifacts/data/classification/images/bacterial_spot/062e43fa-d640-4e2a-b57f-6d819632235f___UF.GRC_BS_Lab Leaf 8853.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,062e43fa-d640-4e2a-b57f-6d819632235f,449435967e058f5ace7945a5a104167b3f84ff08eb2d16fd0481a863c3e3a988,256,256,11440,1,train
artifacts/data/classification/images/bacterial_spot/06ac210d-bdb1-4224-9053-c218cb14fa60___GCREC_Bact.Sp 3220.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,06ac210d-bdb1-4224-9053-c218cb14fa60,01baba8080ff2ac600e9dc52e60f37024fb517c97167d559bae6262876d01be7,256,256,12376,1,train
artifacts/data/classification/images/bacterial_spot/06c56818-dc01-4603-b93c-1be193f95178___GCREC_Bact.Sp 5831.JPG,plantvillage,bacterial_spot,Tomato_Bacterial_spot,06c56818-dc01-4603-b93c-1be193f95178,ff7fcca68447d77e28e9360e59fb493c1d8bb897902b0d1cd091e52aad878e85,256,256,12434,1,train
