sample_id,group_id,annotation_id,image_path,mask_path,leaf_mask_path,image_materialization,label,labels_in_json,image_width,image_height,lesion_pixels,leaf_pixels_heuristic,lesion_fraction_image,lesion_fraction_heuristic_leaf,early_blight_pixels,late_blight_pixels,bacterial_spot_pixels,shape_count,status,split
0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946,0003faa8-4b27-4c65-bf42-6d9e352ca1a5,0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946,artifacts/data/mc_unet/images/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946.jpg,artifacts/data/mc_unet/masks/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946.png,artifacts/data/mc_unet/leaf_masks_heuristic/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946.png,source_jpg,late_blight,Tomato_Late_blight,256,256,6558,65536,0.100067138671875,0.100067138671875,0,6558,0,1,ok,val
0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946_flipLR,0003faa8-4b27-4c65-bf42-6d9e352ca1a5,0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946_flipLR,artifacts/data/mc_unet/images/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946_flipLR.jpg,artifacts/data/mc_unet/masks/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946_flipLR.png,artifacts/data/mc_unet/leaf_masks_heuristic/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946_flipLR.png,source_jpg,late_blight,Tomato_Late_blight,256,256,6869,65536,0.1048126220703125,0.1048126220703125,0,6869,0,1,ok,val
0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432,0034a551-9512-44e5-ba6c-827f85ecc688,0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432,artifacts/data/mc_unet/images/0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432.jpg,artifacts/data/mc_unet/masks/0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432.png,artifacts/data/mc_unet/leaf_masks_heuristic/0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432.png,source_jpg,early_blight,Tomato_Early_blight,256,256,7842,65536,0.119659423828125,0.119659423828125,7842,0,0,12,ok,train
00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202,00b7e89a-e129-4576-b51f-48923888bff9,00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202,artifacts/data/mc_unet/images/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202.jpg,artifacts/data/mc_unet/masks/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202.png,artifacts/data/mc_unet/leaf_masks_heuristic/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202.png,source_jpg,bacterial_spot,Tomato_Bacterial_spot,256,256,845,65536,0.0128936767578125,0.0128936767578125,0,0,845,2,ok,train
00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778,00c5c908-fc25-4710-a109-db143da23112,00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778,artifacts/data/mc_unet/images/00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.jpg,artifacts/data/mc_unet/masks/00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.png,artifacts/data/mc_unet/leaf_masks_heuristic/00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.png,source_jpg,early_blight,Tomato_Early_blight,256,256,710,65536,0.010833740234375,0.010833740234375,710,0,0,4,ok,val
00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844,00e7c4b2-3005-4558-9cfa-235e356cb7a8,00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844,artifacts/data/mc_unet/images/00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844.jpg,artifacts/data/mc_unet/masks/00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844.png,artifacts/data/mc_unet/leaf_masks_heuristic/00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844.png,source_jpg,early_blight,Tomato_Early_blight,256,256,2986,65536,0.045562744140625,0.045562744140625,2986,0,0,7,ok,train
0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_180deg,0114f7b3-7f56-4bef-aa47-7a82da142d4b,0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_180deg,artifacts/data/mc_unet/images/0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_180deg.jpg,artifacts/data/mc_unet/masks/0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_180deg.png,artifacts/data/mc_unet/leaf_masks_heuristic/0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_180deg.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,3052,65536,0.04656982421875,0.04656982421875,3052,0,0,6,ok,train
0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_flipTB,0114f7b3-7f56-4bef-aa47-7a82da142d4b,0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_flipTB,artifacts/data/mc_unet/images/0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_flipTB.jpg,artifacts/data/mc_unet/masks/0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_flipTB.png,artifacts/data/mc_unet/leaf_masks_heuristic/0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_flipTB.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,2879,65536,0.0439300537109375,0.0439300537109375,2879,0,0,5,ok,train
011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B 8251,011aa278-a39e-40b0-b6e4-2e2f835889f0,011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B 8251,artifacts/data/mc_unet/images/011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B 8251.jpg,artifacts/data/mc_unet/masks/011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B 8251.png,artifacts/data/mc_unet/leaf_masks_heuristic/011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B 8251.png,source_jpg,early_blight,Tomato_Early_blight,256,256,3457,65536,0.0527496337890625,0.0527496337890625,3457,0,0,14,ok,train
01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855,01861c93-ea8b-4820-aaa8-cc6003b3e75b,01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855,artifacts/data/mc_unet/images/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855.jpg,artifacts/data/mc_unet/masks/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855.png,artifacts/data/mc_unet/leaf_masks_heuristic/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,4895,65536,0.0746917724609375,0.0746917724609375,4895,0,0,2,ok,train
01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_180deg,01861c93-ea8b-4820-aaa8-cc6003b3e75b,01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_180deg,artifacts/data/mc_unet/images/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_180deg.jpg,artifacts/data/mc_unet/masks/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_180deg.png,artifacts/data/mc_unet/leaf_masks_heuristic/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_180deg.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,4926,65536,0.075164794921875,0.075164794921875,4926,0,0,4,ok,train
01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_flipTB,01861c93-ea8b-4820-aaa8-cc6003b3e75b,01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_flipTB,artifacts/data/mc_unet/images/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_flipTB.jpg,artifacts/data/mc_unet/masks/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_flipTB.png,artifacts/data/mc_unet/leaf_masks_heuristic/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_flipTB.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,5590,65536,0.085296630859375,0.085296630859375,5590,0,0,5,ok,train
01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396,01a3cf3f-94c1-44d5-8972-8c509d62558e,01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396,artifacts/data/mc_unet/images/01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396.jpg,artifacts/data/mc_unet/masks/01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396.png,artifacts/data/mc_unet/leaf_masks_heuristic/01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396.png,source_jpg,bacterial_spot,Tomato_Bacterial_spot,256,256,1535,65536,0.0234222412109375,0.0234222412109375,0,0,1535,3,ok,test
01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824,01c391d2-1b3a-4b58-b205-a75674bba6e9,01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824,artifacts/data/mc_unet/images/01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824.jpg,artifacts/data/mc_unet/masks/01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824.png,artifacts/data/mc_unet/leaf_masks_heuristic/01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824.png,source_jpg,late_blight,Tomato_Late_blight,256,256,961,65536,0.0146636962890625,0.0146636962890625,0,961,0,5,ok,test
01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824_flipLR,01c391d2-1b3a-4b58-b205-a75674bba6e9,01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824_flipLR,artifacts/data/mc_unet/images/01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824_flipLR.jpg,artifacts/data/mc_unet/masks/01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824_flipLR.png,artifacts/data/mc_unet/leaf_masks_heuristic/01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824_flipLR.png,source_jpg,late_blight,Tomato_Late_blight,256,256,935,65536,0.0142669677734375,0.0142669677734375,0,935,0,3,ok,test
01cd2d73-c741-45a5-9610-a2cea2266b80___GHLB2 Leaf 121,01cd2d73-c741-45a5-9610-a2cea2266b80,01cd2d73-c741-45a5-9610-a2cea2266b80___GHLB2 Leaf 121,artifacts/data/mc_unet/images/01cd2d73-c741-45a5-9610-a2cea2266b80___GHLB2 Leaf 121.jpg,artifacts/data/mc_unet/masks/01cd2d73-c741-45a5-9610-a2cea2266b80___GHLB2 Leaf 121.png,artifacts/data/mc_unet/leaf_masks_heuristic/01cd2d73-c741-45a5-9610-a2cea2266b80___GHLB2 Leaf 121.png,source_jpg,late_blight,Tomato_Late_blight,256,256,12176,65536,0.185791015625,0.185791015625,0,12176,0,5,ok,train
01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066,01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7,01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066,artifacts/data/mc_unet/images/01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066.jpg,artifacts/data/mc_unet/masks/01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066.png,artifacts/data/mc_unet/leaf_masks_heuristic/01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066.png,source_jpg,late_blight,Tomato_Late_blight,256,256,31570,65536,0.481719970703125,0.481719970703125,0,31570,0,2,ok,val
01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066_flipLR,01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7,01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066_flipLR,artifacts/data/mc_unet/images/01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066_flipLR.jpg,artifacts/data/mc_unet/masks/01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066_flipLR.png,artifacts/data/mc_unet/leaf_masks_heuristic/01d9be0b-c5e7-49db-8cdf-46bd0ef2c6e7___RS_Late.B 7066_flipLR.png,source_jpg,late_blight,Tomato_Late_blight,256,256,31839,65536,0.4858245849609375,0.4858245849609375,0,31839,0,2,ok,val
