sample_id,true_disease,predicted_disease,disease_correct,true_severity,predicted_severity,severity_error,predicted_yield_loss,predicted_yield_loss_low,predicted_yield_loss_high,true_lesion_pixels,predicted_lesion_pixels,early_blight_tp,early_blight_fp,early_blight_fn,early_blight_dice,early_blight_iou,late_blight_tp,late_blight_fp,late_blight_fn,late_blight_dice,late_blight_iou,bacterial_spot_tp,bacterial_spot_fp,bacterial_spot_fn,bacterial_spot_dice,bacterial_spot_iou
01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396,bacterial_spot,bacterial_spot,True,2.34222412109375,0.86212158203125,-1.4801025390625,0.3448486328125,0.258636474609375,0.3879547119140625,1535,565,0,0,0,0.0,0.0,0,0,0,0.0,0.0,537,28,998,0.5114285714285715,0.3435700575815739
01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824,late_blight,late_blight,True,1.46636962890625,7.60345458984375,6.1370849609375,8.363800048828125,7.60345458984375,9.1241455078125,961,4983,0,0,0,0.0,0.0,961,4022,0,0.3233512786002692,0.1928557094120008,0,0,0,0.0,0.0
01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824_flipLR,late_blight,late_blight,True,1.42669677734375,6.16455078125,4.73785400390625,6.781005859375001,6.16455078125,7.3974609375,935,4040,0,0,0,0.0,0.0,934,3106,1,0.37547738693467336,0.23113090819104182,0,0,0,0.0,0.0
03ccfc6a-8142-4f46-8eb5-f7fc77978081___RS_Late.B 4916,late_blight,early_blight,False,5.6610107421875,8.7890625,3.1280517578125,5.2734375,4.39453125,6.15234375,3710,8158,0,5760,0,0.0,0.0,1375,1004,2335,0.45163409426835277,0.2916843445057276,0,19,0,0.0,0.0
0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B 8446_180deg,early_blight,early_blight,True,3.8604736328125,0.42724609375,-3.4332275390625,0.25634765625,0.213623046875,0.299072265625,2530,280,196,84,2334,0.13950177935943062,0.07498087222647284,0,0,0,0.0,0.0,0,0,0,0.0,0.0
0a1655ed-797c-4d1d-ba35-dc255d68a2ee___GCREC_Bact.Sp 3560,bacterial_spot,early_blight,False,0.4425048828125,0.8026123046875,0.360107421875,0.4815673828125,0.40130615234375,0.56182861328125,290,872,0,526,0,0.0,0.0,0,0,0,0.0,0.0,55,291,235,0.17295597484276728,0.09466437177280551
0a39aa48-3f94-4696-9e43-ff4a93529dc3___RS_Late.B 5103,late_blight,late_blight,True,3.692626953125,3.44085693359375,-0.25177001953125,3.7849426269531254,3.44085693359375,4.1290283203125,2420,2255,0,0,0,0.0,0.0,1619,636,801,0.692620320855615,0.5297774869109948,0,0,0,0.0,0.0
0ad66523-0fca-464d-a6e9-ca2d629e8058___GCREC_Bact.Sp 5945,bacterial_spot,bacterial_spot,True,1.03759765625,2.1484375,1.11083984375,0.859375,0.64453125,0.966796875,680,1408,0,0,0,0.0,0.0,0,0,0,0.0,0.0,580,828,100,0.5555555555555556,0.38461538461538464
0b6caac4-cc62-4c46-9de4-1815a0aa6dbe___GHLB2 Leaf 8799,late_blight,late_blight,True,14.93377685546875,15.73638916015625,0.8026123046875,17.310028076171875,15.73638916015625,18.8836669921875,9787,10451,0,7,0,0.0,0.0,9074,1239,713,0.9028855721393034,0.8229639035008163,0,131,0,0.0,0.0
0bb05a47-55a2-4c23-9dd2-3a5abf17c9f4___GHLB Leaf 5 Day 1,late_blight,healthy,False,0.32958984375,0.0,-0.32958984375,0.0,0.0,0.0,216,0,0,0,0,0.0,0.0,0,0,216,0.0,0.0,0,0,0,0.0,0.0
0ccaeb36-37ff-4328-91c8-99aabd68f442___RS_Late.B 6596,late_blight,late_blight,True,10.55908203125,6.3018798828125,-4.2572021484375,6.932067871093751,6.3018798828125,7.562255859375,6920,4130,0,0,0,0.0,0.0,4072,58,2848,0.7370135746606334,0.5835482946402981,0,0,0,0.0,0.0
0ccaeb36-37ff-4328-91c8-99aabd68f442___RS_Late.B 6596_flipLR,late_blight,late_blight,True,10.49041748046875,5.39398193359375,-5.096435546875,5.933380126953126,5.39398193359375,6.4727783203125,6875,3535,0,0,0,0.0,0.0,3497,38,3378,0.671853986551393,0.5058585274121221,0,0,0,0.0,0.0
0cd1ebaf-3975-4749-b625-50b7b0751c36___RS_Erly.B 7508,early_blight,late_blight,False,1.90582275390625,0.10833740234375,-1.7974853515625,0.11917114257812501,0.10833740234375,0.1300048828125,1249,71,0,0,1249,0.0,0.0,0,71,0,0.0,0.0,0,0,0,0.0,0.0
0f4ce5ef-5ecf-4c5d-b301-3b5a44e3a1c8___UF.GRC_BS_Lab Leaf 0408,bacterial_spot,bacterial_spot,True,10.272216796875,14.07470703125,3.802490234375,5.6298828125,4.222412109375,6.3336181640625,6732,10066,0,842,0,0.0,0.0,0,0,0,0.0,0.0,5691,3533,1041,0.7133366758586112,0.5544081831466147
0fbc786c-62a7-44f3-8db8-2649809bf1aa___RS_Erly.B 9514,early_blight,early_blight,True,27.7496337890625,7.73162841796875,-20.01800537109375,4.63897705078125,3.865814208984375,5.412139892578125,18186,6027,4086,981,14100,0.3514385240614114,0.21317890123650024,0,600,0,0.0,0.0,0,360,0,0.0,0.0
1b212ad6-e65a-4467-bfd1-9f9139070d33___GHLB2 Leaf 8609,late_blight,late_blight,True,5.804443359375,6.42547607421875,0.62103271484375,7.068023681640626,6.42547607421875,7.7105712890625,3804,4211,0,0,0,0.0,0.0,3411,800,393,0.8511540860885839,0.7408774978279756,0,0,0,0.0,0.0
1b212ad6-e65a-4467-bfd1-9f9139070d33___GHLB2 Leaf 8609_flipLR,late_blight,late_blight,True,6.43157958984375,6.3079833984375,-0.12359619140625,6.938781738281251,6.3079833984375,7.569580078125,4215,4134,0,0,0,0.0,0.0,3378,756,837,0.809198706431908,0.6795413397706699,0,0,0,0.0,0.0
1c057b5e-9ad7-4d51-b407-c60637005a13___RS_Erly.B 7594,early_blight,early_blight,True,8.9324951171875,0.9857177734375,-7.94677734375,0.5914306640625,0.49285888671875,0.69000244140625,5854,669,580,66,5274,0.17846153846153845,0.09797297297297297,0,0,0,0.0,0.0,0,23,0,0.0,0.0
1d6494e5-d659-47f2-a854-95f7633f8018___GCREC_Bact.Sp 6102,bacterial_spot,bacterial_spot,True,0.5157470703125,0.3204345703125,-0.1953125,0.128173828125,0.09613037109375,0.144195556640625,338,210,0,0,0,0.0,0.0,0,0,0,0.0,0.0,174,36,164,0.635036496350365,0.46524064171123
1db51a76-0e89-45c6-8f00-9262c1c7732e___GHLB2ES Leaf 139,late_blight,late_blight,True,3.2562255859375,4.2510986328125,0.994873046875,4.67620849609375,4.2510986328125,5.101318359375,2134,2891,0,0,0,0.0,0.0,1636,1150,498,0.6650406504065041,0.4981729598051157,0,105,0,0.0,0.0
1f38b254-2338-4e4a-b772-2a8e60ca8bc0___GHLB2 Leaf 121.3_flipLR,late_blight,late_blight,True,17.04254150390625,16.05224609375,-0.99029541015625,17.657470703125,16.05224609375,19.2626953125,11169,11043,0,9,0,0.0,0.0,9579,941,1590,0.883304901101941,0.7909991742361685,0,514,0,0.0,0.0
1f73406a-14e8-4be2-8450-9379d4f9b2b5___GHLB2 Leaf 9062,late_blight,late_blight,True,10.308837890625,13.623046875,3.314208984375,14.985351562500002,13.623046875,16.34765625,6756,8928,0,0,0,0.0,0.0,6635,2293,121,0.8460851823514409,0.733230191181346,0,0,0,0.0,0.0
1f8c98e1-b5ff-48eb-b676-7c51e99a1329___GCREC_Bact.Sp 5919,bacterial_spot,bacterial_spot,True,17.06390380859375,11.84844970703125,-5.2154541015625,4.7393798828125,3.554534912109375,5.3318023681640625,11183,8062,0,297,0,0.0,0.0,0,0,0,0.0,0.0,7026,739,4157,0.7416086130462318,0.5893306492199295
25b96058-36c9-4213-bb16-088e76cb30b1___RS_Erly.B 9417,early_blight,early_blight,True,17.852783203125,24.066162109375,6.21337890625,14.439697265625,12.0330810546875,16.8463134765625,11700,15772,7960,7812,3740,0.5794991263832265,0.40795407954079543,0,0,0,0.0,0.0,0,0,0,0.0,0.0
2e5a8b76-c1d5-432c-bbde-7589e087b120___GHLB2 Leaf 8976,late_blight,late_blight,True,23.02703857421875,21.52557373046875,-1.50146484375,23.67813110351563,21.52557373046875,25.8306884765625,15091,14119,0,0,0,0.0,0.0,13450,657,1641,0.921295979176656,0.8540767081534163,0,12,0,0.0,0.0
2e5a8b76-c1d5-432c-bbde-7589e087b120___GHLB2 Leaf 8976_flipLR,late_blight,late_blight,True,23.08502197265625,21.85211181640625,-1.23291015625,24.03732299804688,21.85211181640625,26.2225341796875,15129,14371,0,0,0,0.0,0.0,13608,713,1521,0.9241426146010187,0.8589824517106426,0,50,0,0.0,0.0
2e604e19-fcb1-4d3c-9c04-4b154e1ca480___UF.GRC_BS_Lab Leaf 9241,bacterial_spot,bacterial_spot,True,9.78546142578125,14.75067138671875,4.9652099609375,5.9002685546875,4.425201416015625,6.6378021240234375,6413,11267,0,53,0,0.0,0.0,0,1547,0,0.0,0.0,4278,5389,2135,0.5320895522388059,0.3624809354346721
2e86ab04-c41e-4a4b-a674-552176d72ab1___GHLB2 Leaf 100,late_blight,late_blight,True,5.40771484375,15.95611572265625,10.54840087890625,17.551727294921875,15.95611572265625,19.1473388671875,3544,10499,0,1,0,0.0,0.0,2762,7695,782,0.39454324691093495,0.24575140137022866,0,41,0,0.0,0.0
2effb567-7a19-49c6-b819-e79c9f3a03ab___GCREC_Bact.Sp 3582,bacterial_spot,bacterial_spot,True,8.819580078125,8.49151611328125,-0.32806396484375,3.3966064453125,2.547454833984375,3.8211822509765625,5780,7372,0,1807,0,0.0,0.0,0,0,0,0.0,0.0,4749,816,1031,0.8371970030850595,0.719981807155852
2f6eb969-db8b-48ae-954d-f716a61fce22___RS_Late.B 6555,late_blight,late_blight,True,7.03125,9.24530029296875,2.21405029296875,10.169830322265625,9.24530029296875,11.0943603515625,4608,6059,0,0,0,0.0,0.0,4055,2004,553,0.7602887409768445,0.6132788868723533,0,0,0,0.0,0.0
2f9cc9b4-9244-4043-b786-25be4b3e4063___UF.GRC_BS_Lab Leaf 9032,bacterial_spot,bacterial_spot,True,43.0816650390625,11.68670654296875,-31.39495849609375,4.6746826171875,3.506011962890625,5.2590179443359375,28234,8428,0,6,0,0.0,0.0,0,763,0,0.0,0.0,7511,148,20723,0.4185217173264982,0.2646395602846875
2fa6cd46-eb76-481e-b15a-44c858f705b3___RS_Erly.B 9532,early_blight,late_blight,False,10.4522705078125,0.604248046875,-9.8480224609375,0.6646728515625,0.604248046875,0.72509765625,6850,1061,272,19,6578,0.07617980674975494,0.039598194788178775,0,396,0,0.0,0.0,0,374,0,0.0,0.0
2ffcdf9e-9cf5-492e-80f8-6f80cd0be7cb___RS_Erly.B 7421,early_blight,bacterial_spot,False,1.89208984375,1.2786865234375,-0.6134033203125,0.511474609375,0.38360595703125,0.575408935546875,1240,838,0,0,1240,0.0,0.0,0,0,0,0.0,0.0,0,838,0,0.0,0.0
3a1a6b9e-2a68-421f-adbe-229baf8a6093___GHLB Leaf 2 Day 13,late_blight,late_blight,True,19.55342754431635,7.713524234535763,-11.839903309780587,8.48487665798934,7.713524234535763,9.256229081442916,12619,5076,0,0,0,0.0,0.0,4607,371,8012,0.5236119793146559,0.35465742879137796,0,98,0,0.0,0.0
3a28881d-eede-4274-b158-c54ebd1c7164___GCREC_Bact.Sp 3136,bacterial_spot,bacterial_spot,True,1.33056640625,1.53656005859375,0.20599365234375,0.6146240234375,0.460968017578125,0.6914520263671875,872,1007,0,0,0,0.0,0.0,0,0,0,0.0,0.0,309,698,563,0.3288983501862693,0.19681528662420383
