sample_id,true_disease,predicted_disease,disease_correct,true_severity,predicted_severity,severity_error,predicted_yield_loss,predicted_yield_loss_low,predicted_yield_loss_high,true_lesion_pixels,predicted_lesion_pixels,early_blight_tp,early_blight_fp,early_blight_fn,early_blight_dice,early_blight_iou,late_blight_tp,late_blight_fp,late_blight_fn,late_blight_dice,late_blight_iou,bacterial_spot_tp,bacterial_spot_fp,bacterial_spot_fn,bacterial_spot_dice,bacterial_spot_iou
01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396,bacterial_spot,bacterial_spot,True,2.34222412109375,0.47607421875,-1.86614990234375,0.1904296875,0.142822265625,0.2142333984375,1535,312,0,0,0,0.0,0.0,0,0,0,0.0,0.0,306,6,1229,0.331348132106118,0.19857235561323816
01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824,late_blight,late_blight,True,1.46636962890625,0.70648193359375,-0.7598876953125,0.7771301269531251,0.70648193359375,0.8477783203125,961,463,0,0,0,0.0,0.0,422,41,539,0.5926966292134831,0.42115768463073855,0,0,0,0.0,0.0
01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824_flipLR,late_blight,late_blight,True,1.42669677734375,0.86822509765625,-0.5584716796875,0.9550476074218751,0.86822509765625,1.0418701171875,935,569,0,0,0,0.0,0.0,539,30,396,0.7167553191489362,0.5585492227979275,0,0,0,0.0,0.0
03ccfc6a-8142-4f46-8eb5-f7fc77978081___RS_Late.B 4916,late_blight,late_blight,True,5.6610107421875,3.79180908203125,-1.86920166015625,4.170989990234375,3.79180908203125,4.5501708984375,3710,2624,0,139,0,0.0,0.0,2175,310,1535,0.7021791767554479,0.5410447761194029,0,0,0,0.0,0.0
0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B 8446_180deg,early_blight,late_blight,False,3.8604736328125,0.37994384765625,-3.48052978515625,0.41793823242187506,0.37994384765625,0.4559326171875,2530,407,133,25,2397,0.09895833333333333,0.052054794520547946,0,249,0,0.0,0.0,0,0,0,0.0,0.0
0a1655ed-797c-4d1d-ba35-dc255d68a2ee___GCREC_Bact.Sp 3560,bacterial_spot,bacterial_spot,True,0.4425048828125,0.3570556640625,-0.08544921875,0.142822265625,0.10711669921875,0.160675048828125,290,365,0,131,0,0.0,0.0,0,0,0,0.0,0.0,191,43,99,0.7290076335877863,0.5735735735735735
0a39aa48-3f94-4696-9e43-ff4a93529dc3___RS_Late.B 5103,late_blight,late_blight,True,3.692626953125,2.84576416015625,-0.84686279296875,3.1303405761718754,2.84576416015625,3.4149169921875,2420,2354,0,489,0,0.0,0.0,1665,200,755,0.7771295215869312,0.6354961832061069,0,0,0,0.0,0.0
0ad66523-0fca-464d-a6e9-ca2d629e8058___GCREC_Bact.Sp 5945,bacterial_spot,bacterial_spot,True,1.03759765625,1.10321044921875,0.06561279296875,0.4412841796875,0.330963134765625,0.4964447021484375,680,723,0,0,0,0.0,0.0,0,0,0,0.0,0.0,488,235,192,0.6956521739130435,0.5333333333333333
0b6caac4-cc62-4c46-9de4-1815a0aa6dbe___GHLB2 Leaf 8799,late_blight,late_blight,True,14.93377685546875,15.31524658203125,0.3814697265625,16.846771240234375,15.31524658203125,18.3782958984375,9787,10037,0,0,0,0.0,0.0,9117,920,670,0.9197941888619855,0.8514990193331465,0,0,0,0.0,0.0
0bb05a47-55a2-4c23-9dd2-3a5abf17c9f4___GHLB Leaf 5 Day 1,late_blight,healthy,False,0.32958984375,0.0,-0.32958984375,0.0,0.0,0.0,216,0,0,0,0,0.0,0.0,0,0,216,0.0,0.0,0,0,0,0.0,0.0
