disease,severity,beta_min_loss,beta_central_loss,beta_max_loss
early_blight,0.0,0.0,0.0,0.0
early_blight,1.0,0.5,0.6,0.7
early_blight,2.0,1.0,1.2,1.4
early_blight,3.0,1.5,1.7999999999999998,2.0999999999999996
early_blight,4.0,2.0,2.4,2.8
early_blight,5.0,2.5,3.0,3.5
early_blight,6.0,3.0,3.5999999999999996,4.199999999999999
early_blight,7.0,3.5,4.2,4.8999999999999995
early_blight,8.0,4.0,4.8,5.6
early_blight,9.0,4.5,5.3999999999999995,6.3
early_blight,10.0,5.0,6.0,7.0
early_blight,11.0,5.5,6.6,7.699999999999999
early_blight,12.0,6.0,7.199999999999999,8.399999999999999
early_blight,13.0,6.5,7.8,9.1
early_blight,14.0,7.0,8.4,9.799999999999999
early_blight,15.0,7.5,9.0,10.5
early_blight,16.0,8.0,9.6,11.2
early_blight,17.0,8.5,10.2,11.899999999999999
early_blight,18.0,9.0,10.799999999999999,12.6
early_blight,19.0,9.5,11.4,13.299999999999999
early_blight,20.0,10.0,12.0,14.0
early_blight,21.0,10.5,12.6,14.7
early_blight,22.0,11.0,13.2,15.399999999999999
early_blight,23.0,11.5,13.799999999999999,16.099999999999998
early_blight,24.0,12.0,14.399999999999999,16.799999999999997
early_blight,25.0,12.5,15.0,17.5
early_blight,26.0,13.0,15.6,18.2
early_blight,27.0,13.5,16.2,18.9
early_blight,28.0,14.0,16.8,19.599999999999998
early_blight,29.0,14.5,17.4,20.299999999999997
early_blight,30.0,15.0,18.0,21.0
early_blight,31.0,15.5,18.599999999999998,21.7
early_blight,32.0,16.0,19.2,22.4
early_blight,33.0,16.5,19.8,23.099999999999998
early_blight,34.0,17.0,20.4,23.799999999999997
early_blight,35.0,17.5,21.0,24.5
early_blight,36.0,18.0,21.599999999999998,25.2
early_blight,37.0,18.5,22.2,25.9
early_blight,38.0,19.0,22.8,26.599999999999998
early_blight,39.0,19.5,23.4,27.299999999999997
early_blight,40.0,20.0,24.0,28.0
early_blight,41.0,20.5,24.599999999999998,28.7
early_blight,42.0,21.0,25.2,29.4
early_blight,43.0,21.5,25.8,30.099999999999998
early_blight,44.0,22.0,26.4,30.799999999999997
early_blight,45.0,22.5,27.0,31.499999999999996
early_blight,46.0,23.0,27.599999999999998,32.199999999999996
early_blight,47.0,23.5,28.2,32.9
early_blight,48.0,24.0,28.799999999999997,33.599999999999994
early_blight,49.0,24.5,29.4,34.3
early_blight,50.0,25.0,30.0,35.0
early_blight,51.0,25.5,30.599999999999998,35.699999999999996
early_blight,52.0,26.0,31.2,36.4
early_blight,53.0,26.5,31.799999999999997,37.099999999999994
early_blight,54.0,27.0,32.4,37.8
early_blight,55.0,27.5,33.0,38.5
early_blight,56.0,28.0,33.6,39.199999999999996
early_blight,57.0,28.5,34.199999999999996,39.9
early_blight,58.0,29.0,34.8,40.599999999999994
early_blight,59.0,29.5,35.4,41.3
early_blight,60.0,30.0,36.0,42.0
early_blight,61.0,30.5,36.6,42.699999999999996
early_blight,62.0,31.0,37.199999999999996,43.4
early_blight,63.0,31.5,37.8,44.099999999999994
early_blight,64.0,32.0,38.4,44.8
early_blight,65.0,32.5,39.0,45.5
early_blight,66.0,33.0,39.6,46.199999999999996
early_blight,67.0,33.5,40.199999999999996,46.9
early_blight,68.0,34.0,40.8,47.599999999999994
early_blight,69.0,34.5,41.4,48.3
early_blight,70.0,35.0,42.0,49.0
early_blight,71.0,35.5,42.6,49.699999999999996
early_blight,72.0,36.0,43.199999999999996,50.4
early_blight,73.0,36.5,43.8,51.099999999999994
early_blight,74.0,37.0,44.4,51.8
early_blight,75.0,37.5,45.0,52.5
early_blight,76.0,38.0,45.6,53.199999999999996
early_blight,77.0,38.5,46.199999999999996,53.9
early_blight,78.0,39.0,46.8,54.599999999999994
early_blight,79.0,39.5,47.4,55.3
early_blight,80.0,40.0,48.0,56.0
early_blight,81.0,40.5,48.6,56.699999999999996
early_blight,82.0,41.0,49.199999999999996,57.4
early_blight,83.0,41.5,49.8,58.099999999999994
early_blight,84.0,42.0,50.4,58.8
early_blight,85.0,42.5,51.0,59.49999999999999
early_blight,86.0,43.0,51.6,60.199999999999996
early_blight,87.0,43.5,52.199999999999996,60.9
early_blight,88.0,44.0,52.8,61.599999999999994
early_blight,89.0,44.5,53.4,62.3
early_blight,90.0,45.0,54.0,62.99999999999999
early_blight,91.0,45.5,54.6,63.699999999999996
early_blight,92.0,46.0,55.199999999999996,64.39999999999999
early_blight,93.0,46.5,55.8,65.1
early_blight,94.0,47.0,56.4,65.8
early_blight,95.0,47.5,57.0,66.5
early_blight,96.0,48.0,57.599999999999994,67.19999999999999
early_blight,97.0,48.5,58.199999999999996,67.89999999999999
early_blight,98.0,49.0,58.8,68.6
early_blight,99.0,49.5,59.4,69.3
early_blight,100.0,50.0,60.0,70.0
late_blight,0.0,0.0,0.0,0.0
late_blight,1.0,1.0,1.1,1.2
late_blight,2.0,2.0,2.2,2.4
late_blight,3.0,3.0,3.3000000000000003,3.5999999999999996
late_blight,4.0,4.0,4.4,4.8
late_blight,5.0,5.0,5.5,6.0
late_blight,6.0,6.0,6.6000000000000005,7.199999999999999
late_blight,7.0,7.0,7.700000000000001,8.4
late_blight,8.0,8.0,8.8,9.6
late_blight,9.0,9.0,9.9,10.799999999999999
late_blight,10.0,10.0,11.0,12.0
late_blight,11.0,11.0,12.100000000000001,13.2
late_blight,12.0,12.0,13.200000000000001,14.399999999999999
late_blight,13.0,13.0,14.3,15.6
late_blight,14.0,14.0,15.400000000000002,16.8
late_blight,15.0,15.0,16.5,18.0
late_blight,16.0,16.0,17.6,19.2
late_blight,17.0,17.0,18.700000000000003,20.4
late_blight,18.0,18.0,19.8,21.599999999999998
late_blight,19.0,19.0,20.900000000000002,22.8
late_blight,20.0,20.0,22.0,24.0
late_blight,21.0,21.0,23.1,25.2
late_blight,22.0,22.0,24.200000000000003,26.4
late_blight,23.0,23.0,25.3,27.599999999999998
late_blight,24.0,24.0,26.400000000000002,28.799999999999997
late_blight,25.0,25.0,27.500000000000004,30.0
late_blight,26.0,26.0,28.6,31.2
late_blight,27.0,27.0,29.700000000000003,32.4
late_blight,28.0,28.0,30.800000000000004,33.6
late_blight,29.0,29.0,31.900000000000002,34.8
late_blight,30.0,30.0,33.0,36.0
late_blight,31.0,31.0,34.1,37.199999999999996
late_blight,32.0,32.0,35.2,38.4
late_blight,33.0,33.0,36.300000000000004,39.6
late_blight,34.0,34.0,37.400000000000006,40.8
late_blight,35.0,35.0,38.5,42.0
late_blight,36.0,36.0,39.6,43.199999999999996
late_blight,37.0,37.0,40.7,44.4
late_blight,38.0,38.0,41.800000000000004,45.6
late_blight,39.0,39.0,42.900000000000006,46.8
late_blight,40.0,40.0,44.0,48.0
late_blight,41.0,41.0,45.1,49.199999999999996
late_blight,42.0,42.0,46.2,50.4
late_blight,43.0,43.0,47.300000000000004,51.6
late_blight,44.0,44.0,48.400000000000006,52.8
late_blight,45.0,45.0,49.50000000000001,54.0
late_blight,46.0,46.0,50.6,55.199999999999996
late_blight,47.0,47.0,51.7,56.4
late_blight,48.0,48.0,52.800000000000004,57.599999999999994
late_blight,49.0,49.0,53.900000000000006,58.8
late_blight,50.0,50.0,55.00000000000001,60.0
late_blight,51.0,51.0,56.1,61.199999999999996
late_blight,52.0,52.0,57.2,62.4
late_blight,53.0,53.0,58.300000000000004,63.599999999999994
late_blight,54.0,54.0,59.400000000000006,64.8
late_blight,55.0,55.0,60.50000000000001,66.0
late_blight,56.0,56.0,61.60000000000001,67.2
late_blight,57.0,57.0,62.7,68.39999999999999
late_blight,58.0,58.0,63.800000000000004,69.6
late_blight,59.0,59.0,64.9,70.8
late_blight,60.0,60.0,66.0,72.0
late_blight,61.0,61.0,67.10000000000001,73.2
late_blight,62.0,62.0,68.2,74.39999999999999
late_blight,63.0,63.0,69.30000000000001,75.6
late_blight,64.0,64.0,70.4,76.8
late_blight,65.0,65.0,71.5,78.0
late_blight,66.0,66.0,72.60000000000001,79.2
late_blight,67.0,67.0,73.7,80.39999999999999
late_blight,68.0,68.0,74.80000000000001,81.6
late_blight,69.0,69.0,75.9,82.8
late_blight,70.0,70.0,77.0,84.0
late_blight,71.0,71.0,78.10000000000001,85.2
late_blight,72.0,72.0,79.2,86.39999999999999
late_blight,73.0,73.0,80.30000000000001,87.6
late_blight,74.0,74.0,81.4,88.8
late_blight,75.0,75.0,82.5,90.0
late_blight,76.0,76.0,83.60000000000001,91.2
late_blight,77.0,77.0,84.7,92.39999999999999
late_blight,78.0,78.0,85.80000000000001,93.6
late_blight,79.0,79.0,86.9,94.8
late_blight,80.0,80.0,88.0,96.0
late_blight,81.0,81.0,89.10000000000001,97.2
late_blight,82.0,82.0,90.2,98.39999999999999
late_blight,83.0,83.0,91.30000000000001,99.6
late_blight,84.0,84.0,92.4,100.0
late_blight,85.0,85.0,93.50000000000001,100.0
late_blight,86.0,86.0,94.60000000000001,100.0
late_blight,87.0,87.0,95.7,100.0
late_blight,88.0,88.0,96.80000000000001,100.0
late_blight,89.0,89.0,97.9,100.0
late_blight,90.0,90.0,99.00000000000001,100.0
late_blight,91.0,91.0,100.0,100.0
late_blight,92.0,92.0,100.0,100.0
late_blight,93.0,93.0,100.0,100.0
late_blight,94.0,94.0,100.0,100.0
late_blight,95.0,95.0,100.0,100.0
late_blight,96.0,96.0,100.0,100.0
late_blight,97.0,97.0,100.0,100.0
